Video Analysis Log - prema
Video Duration: 269.07 seconds
Change Threshold: 4.0%
Start Time: 2s
==================================================


>>> INITIAL SCREENSHOT A CAPTURED at 2.2s
Time 160.2s: 0.3% different
Time 160.4s: 0.3% different
Time 160.6s: 0.0% different
Time 160.8s: 0.3% different
Time 161.0s: 0.3% different
Time 161.2s: 0.0% different
Time 161.4s: 0.3% different
Time 161.6s: 0.3% different
Time 161.8s: 0.0% different
Time 162.0s: 0.3% different
Time 162.2s: 0.3% different
Time 162.4s: 0.0% different
Time 162.6s: 0.3% different
Time 162.8s: 0.3% different
Time 163.0s: 0.0% different
Time 163.2s: 0.3% different
Time 163.4s: 0.3% different
Time 163.6s: 0.0% different
Time 163.8s: 11.6% different

>>> SCREENSHOT A CAPTURED at 163.8s (11.6% >= 4.0%)
Time 164.0s: 0.3% different
Time 164.2s: 0.0% different
Time 164.4s: 0.3% different
Time 164.6s: 0.3% different
Time 164.8s: 0.0% different
Time 165.0s: 0.3% different
Time 165.2s: 0.0% different
Time 165.4s: 0.3% different
Time 165.6s: 0.3% different
Time 165.8s: 0.3% different
Time 166.0s: 0.0% different
Time 166.2s: 0.3% different
Time 166.4s: 0.0% different
Time 166.6s: 0.3% different
Time 166.8s: 0.3% different
Time 167.0s: 0.3% different
Time 167.2s: 0.0% different
Time 167.4s: 0.3% different
Time 167.6s: 0.3% different
Time 167.8s: 0.0% different
Time 168.0s: 0.3% different
Time 168.2s: 0.3% different
Time 168.4s: 0.3% different
Time 168.6s: 0.0% different
Time 168.8s: 0.3% different
Time 169.0s: 0.0% different
Time 169.2s: 0.3% different
Time 169.4s: 0.3% different
Time 169.6s: 0.0% different
Time 169.8s: 0.3% different
Time 170.0s: 0.3% different
Time 170.2s: 0.3% different
Time 170.4s: 0.0% different
Time 170.6s: 0.3% different
Time 170.8s: 0.3% different
Time 171.0s: 0.0% different
Time 171.2s: 0.3% different
Time 171.4s: 0.3% different
Time 171.6s: 0.0% different
Time 171.8s: 0.3% different
Time 172.0s: 0.3% different
Time 172.2s: 0.0% different
Time 172.4s: 0.3% different
Time 172.6s: 0.3% different
Time 172.8s: 0.0% different
Time 173.0s: 0.3% different
Time 173.2s: 0.3% different
